date_mesure,geocode_region,libelle_region,valeur
2010-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2813878
2025-01-01T00:00:00.000,03,Guyane,293996
2016-01-01T00:00:00.000,03,Guyane,269352
2021-01-01T00:00:00.000,03,Guyane,286618
2009-01-01T00:00:00.000,03,Guyane,224469
2023-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2802670
2008-01-01T00:00:00.000,32,Hauts-de-France,5930677
2021-01-01T00:00:00.000,53,Bretagne,3394567
2018-01-01T00:00:00.000,28,Normandie,3327477
2009-01-01T00:00:00.000,28,Normandie,3303822
2011-01-01T00:00:00.000,24,Centre-Val de Loire,2556835
